Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
3.5 tỷ,35 m2,3m,4,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
4.55 tỷ,48 m2,3m,4,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3 tỷ,40 m2,3m,5,"Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
6.4 tỷ,63 m2,10m,5,"Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
2.4 tỷ,29 m2,3m,5,"Phố Liễu Giai, Phường Cống Vị, Quận Ba Đình, Hà Nội"
12.5 tỷ,47 m2,5m,6,"Phố Nguyên Hồng, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.05 tỷ,33 m2,3m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.05 tỷ,39 m2,4m,5,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.95 tỷ,40 m2,"2,5m",6,"Phố Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
4.1 tỷ,27 m2,5m,5,"Phố Núi Trúc, Phường Kim Mã, Quận Ba Đình, Hà Nội"
